GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
0,,,,,,,,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,20250307094500,https://www.wusa9.com/article/news/politics/federal-fallout/alexandria-virginia-federal-workers-fired-resources-fair/65-bee22007-c4e0-447f-90f9-a20d831a89c4
0,,,,,,,,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,20250307094500,https://www.wusa9.com/article/news/politics/federal-fallout/alexandria-virginia-federal-workers-fired-resources-fair/65-bee22007-c4e0-447f-90f9-a20d831a89c4
0,,,,,,,,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,20250307094500,https://www.wusa9.com/article/news/politics/federal-fallout/alexandria-virginia-federal-workers-fired-resources-fair/65-bee22007-c4e0-447f-90f9-a20d831a89c4
0,,,,,,,,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,20250307094500,https://www.wusa9.com/article/news/politics/federal-fallout/alexandria-virginia-federal-workers-fired-resources-fair/65-bee22007-c4e0-447f-90f9-a20d831a89c4
0,,,,,,,,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,4,"Alexandria, Al Iskandariyah, Egypt",EG,EG06,61590,31.1981,29.9192,-290263,20250307094500,https://www.wusa9.com/article/news/politics/federal-fallout/alexandria-virginia-federal-workers-fired-resources-fair/65-bee22007-c4e0-447f-90f9-a20d831a89c4
0,,,,,,,,4,"Gare Du Nord, France (general), France",FR,FR00,16282,48.8821,2.35607,-1455304,4,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20250307094500,https://www.upi.com/Top_News/World-News/2025/03/07/france-bomb-Gare-du-Nord/5181741337153/
0,,,,,,,,4,"Gare Du Nord, France (general), France",FR,FR00,16282,48.8821,2.35607,-1455304,4,"Gare Du Nord, France (general), France",FR,FR00,16282,48.8821,2.35607,-1455304,20250307094500,https://www.thejournal.ie/eurostar-services-halted-unexploded-world-war-two-bomb-paris-6642301-Mar2025/
0,,,,,,,,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,4,"Fort William, Highland, United Kingdom",UK,UKV3,40172,56.8167,-5.11667,-2596447,20250307094500,https://www.mbr.co.uk/news/8-of-the-hottest-mountain-bike-products-for-2025-447476
0,,,,,,,,4,"Milford Haven, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.7167,-5.03333,-2603102,4,"Milford Haven, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.7167,-5.03333,-2603102,20250307094500,https://www.milfordmercury.co.uk/news/24985076.senedd-member-praises-role-welsh-ports-economic-growth/
0,,,,,,,,4,"Milford Haven, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.7167,-5.03333,-2603102,5,"Pembrokeshire, Pembrokeshire, United Kingdom",UK,UKY7,40180,51.8333,-4.91667,-2605141,20250307094500,https://www.milfordmercury.co.uk/news/24985076.senedd-member-praises-role-welsh-ports-economic-growth/
